run_id,topic,model_key,model,condition,valid,event_expected,event_actual,posts,comments,traces,users,axis_a,axis_a_mentions,axis_b,axis_b_mentions,heuristic_prediction,noise_mentions,simulation_id,evidence_note
football-llama-noise-off-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,True,1,1,5,3,16,5,Argentina,8,Colombia,5,Argentina,4,sim_2903c2fffa71,manifest_real
bolivia-gemma-baseline-control-r20,bolivia,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,6,6,33,4,Paz,2,Quiroga,2,Unclear,0,sim_97ea1fdbe89c,manifest_real
bolivia-gemma-signal-early-r20,bolivia,gemma,google/gemma-3-27b-it,signal-early,True,1,1,6,2,28,4,Paz,8,Quiroga,2,Paz,0,sim_97ea1fdbe89c,manifest_real
bolivia-gemma-signal-mid-r20,bolivia,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,6,5,34,4,Paz,8,Quiroga,2,Paz,0,sim_97ea1fdbe89c,manifest_real
bolivia-gemma-signal-late-r20,bolivia,gemma,google/gemma-3-27b-it,signal-late,True,1,1,9,4,43,4,Paz,8,Quiroga,2,Paz,0,sim_97ea1fdbe89c,manifest_real
bolivia-gemma-counter-signal-mid-r20,bolivia,gemma,google/gemma-3-27b-it,counter-signal-mid,True,1,1,5,1,20,4,Paz,2,Quiroga,10,Quiroga,0,sim_97ea1fdbe89c,manifest_real
bolivia-gemma-noise-near-mid-r20,bolivia,gemma,google/gemma-3-27b-it,noise-near-mid,True,1,1,6,3,31,4,Paz,2,Quiroga,2,Unclear,2,sim_97ea1fdbe89c,manifest_real
bolivia-gemma-noise-off-mid-r20,bolivia,gemma,google/gemma-3-27b-it,noise-off-mid,True,1,1,6,6,29,4,Paz,2,Quiroga,2,Unclear,3,sim_97ea1fdbe89c,manifest_real
bolivia-llama-baseline-control-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,3,3,18,3,Paz,4,Quiroga,2,Paz,0,sim_3e3386657572,manifest_real
bolivia-llama-signal-early-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,True,1,1,4,3,23,3,Paz,8,Quiroga,2,Paz,0,sim_3e3386657572,manifest_real
bolivia-llama-signal-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,5,3,23,3,Paz,10,Quiroga,2,Paz,0,sim_3e3386657572,manifest_real
bolivia-llama-signal-late-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,True,1,1,4,5,22,3,Paz,12,Quiroga,2,Paz,0,sim_3e3386657572,manifest_real
bolivia-llama-counter-signal-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,True,1,1,5,4,26,3,Paz,2,Quiroga,10,Quiroga,0,sim_3e3386657572,manifest_real
bolivia-llama-noise-near-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,True,1,1,7,6,31,3,Paz,2,Quiroga,6,Quiroga,2,sim_3e3386657572,manifest_real
bolivia-llama-noise-off-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,True,1,1,4,3,23,3,Paz,2,Quiroga,2,Unclear,3,sim_3e3386657572,manifest_real
ipc-gemma-baseline-control-r20,ipc,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,3,1,6,1,Lower/disinflation,5,Higher/rebound,0,Lower/disinflation,0,sim_d381ccba64dc,manifest_real
ipc-gemma-signal-early-r20,ipc,gemma,google/gemma-3-27b-it,signal-early,True,1,1,4,0,5,1,Lower/disinflation,8,Higher/rebound,0,Lower/disinflation,0,sim_d381ccba64dc,manifest_real
ipc-gemma-signal-mid-r20,ipc,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,4,4,10,1,Lower/disinflation,12,Higher/rebound,0,Lower/disinflation,0,sim_d381ccba64dc,manifest_real
ipc-gemma-signal-late-r20,ipc,gemma,google/gemma-3-27b-it,signal-late,True,1,1,4,2,12,1,Lower/disinflation,9,Higher/rebound,0,Lower/disinflation,0,sim_d381ccba64dc,manifest_real
ipc-gemma-counter-signal-mid-r20,ipc,gemma,google/gemma-3-27b-it,counter-signal-mid,True,1,1,4,0,5,1,Lower/disinflation,5,Higher/rebound,5,Unclear,0,sim_d381ccba64dc,manifest_real
ipc-gemma-noise-near-mid-r20,ipc,gemma,google/gemma-3-27b-it,noise-near-mid,True,1,1,4,2,10,1,Lower/disinflation,6,Higher/rebound,0,Lower/disinflation,0,sim_d381ccba64dc,manifest_real
ipc-gemma-noise-off-mid-r20,ipc,gemma,google/gemma-3-27b-it,noise-off-mid,True,1,1,4,3,13,1,Lower/disinflation,6,Higher/rebound,0,Lower/disinflation,5,sim_d381ccba64dc,manifest_real
ipc-llama-baseline-control-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,2,1,5,1,Lower/disinflation,1,Higher/rebound,0,Lower/disinflation,0,sim_1e1dccf3fd15,manifest_real
ipc-llama-signal-early-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,True,1,1,3,2,10,1,Lower/disinflation,6,Higher/rebound,0,Lower/disinflation,0,sim_1e1dccf3fd15,manifest_real
ipc-llama-signal-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,3,2,10,1,Lower/disinflation,6,Higher/rebound,0,Lower/disinflation,0,sim_1e1dccf3fd15,manifest_real
ipc-llama-signal-late-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,True,1,1,3,1,6,1,Lower/disinflation,5,Higher/rebound,0,Lower/disinflation,0,sim_1e1dccf3fd15,manifest_real
ipc-llama-counter-signal-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,True,1,1,3,0,4,1,Lower/disinflation,2,Higher/rebound,5,Higher/rebound,0,sim_1e1dccf3fd15,manifest_real
ipc-llama-noise-near-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,True,1,1,3,1,6,1,Lower/disinflation,1,Higher/rebound,0,Lower/disinflation,0,sim_1e1dccf3fd15,manifest_real
ipc-llama-noise-off-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,True,1,1,3,1,8,1,Lower/disinflation,1,Higher/rebound,0,Lower/disinflation,5,sim_1e1dccf3fd15,manifest_real
