run_id,topic,model_key,model,condition,valid,event_expected,event_actual,manifest_status,is_real_mirofish_system,flow_provenance,simulation_id,prepared_simulation_id,post_count,comment_count,trace_count,user_count,evidence_note,output_dir
ipc-gemma-signal-early-r20,ipc,gemma,google/gemma-3-27b-it,signal-early,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,0,5,1,manifest_real,runs\s3_cross_topic\ipc\gemma\signal-early-r20
ipc-gemma-signal-mid-r20,ipc,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,4,10,1,manifest_real,runs\s3_cross_topic\ipc\gemma\signal-mid-r20
ipc-gemma-signal-late-r20,ipc,gemma,google/gemma-3-27b-it,signal-late,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,2,12,1,manifest_real,runs\s3_cross_topic\ipc\gemma\signal-late-r20
ipc-gemma-counter-signal-mid-r20,ipc,gemma,google/gemma-3-27b-it,counter-signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,0,5,1,manifest_real,runs\s3_cross_topic\ipc\gemma\counter-signal-mid-r20
ipc-gemma-noise-near-mid-r20,ipc,gemma,google/gemma-3-27b-it,noise-near-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,2,10,1,manifest_real,runs\s3_cross_topic\ipc\gemma\noise-near-mid-r20
ipc-gemma-noise-off-mid-r20,ipc,gemma,google/gemma-3-27b-it,noise-off-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,3,13,1,manifest_real,runs\s3_cross_topic\ipc\gemma\noise-off-mid-r20
ipc-llama-baseline-control-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,2,1,5,1,manifest_real,runs\s3_cross_topic\ipc\llama\baseline-control-r20
ipc-llama-signal-early-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,2,10,1,manifest_real,runs\s3_cross_topic\ipc\llama\signal-early-r20
ipc-llama-signal-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,2,10,1,manifest_real,runs\s3_cross_topic\ipc\llama\signal-mid-r20
ipc-llama-signal-late-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,1,6,1,manifest_real,runs\s3_cross_topic\ipc\llama\signal-late-r20
ipc-llama-counter-signal-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,0,4,1,manifest_real,runs\s3_cross_topic\ipc\llama\counter-signal-mid-r20
ipc-llama-noise-near-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,1,6,1,manifest_real,runs\s3_cross_topic\ipc\llama\noise-near-mid-r20
ipc-llama-noise-off-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,1,8,1,manifest_real,runs\s3_cross_topic\ipc\llama\noise-off-mid-r20
