run_id,topic,model_key,provider,model,condition,rounds,status,event_expected,event_actual,output_dir,started_at,ended_at,notes
bolivia-gemma-noise-near-mid-r20,bolivia,gemma,deepinfra,google/gemma-3-27b-it,noise-near-mid,20,completed,1,1,runs\s3_cross_topic\bolivia\gemma\noise-near-mid-r20,2026-06-18T08:31:30+00:00,2026-06-18T08:32:31+00:00,manifest_real
bolivia-gemma-noise-off-mid-r20,bolivia,gemma,deepinfra,google/gemma-3-27b-it,noise-off-mid,20,completed,1,1,runs\s3_cross_topic\bolivia\gemma\noise-off-mid-r20,2026-06-18T08:32:31+00:00,2026-06-18T08:33:20+00:00,manifest_real
ipc-gemma-baseline-control-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,baseline-control,20,skipped_existing_valid,0,0,runs\s3_cross_topic\ipc\gemma\baseline-control-r20,2026-06-18T08:33:20+00:00,2026-06-18T08:33:20+00:00,existing artifacts; manifest_real
ipc-gemma-signal-early-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,signal-early,20,completed,1,1,runs\s3_cross_topic\ipc\gemma\signal-early-r20,2026-06-18T08:33:20+00:00,2026-06-18T08:33:28+00:00,manifest_real
ipc-gemma-signal-mid-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,signal-mid,20,skipped_existing_valid,1,1,runs\s3_cross_topic\ipc\gemma\signal-mid-r20,2026-06-18T08:33:28+00:00,2026-06-18T08:33:28+00:00,existing artifacts; manifest_real
ipc-gemma-signal-late-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,signal-late,20,completed,1,1,runs\s3_cross_topic\ipc\gemma\signal-late-r20,2026-06-18T08:33:28+00:00,2026-06-18T08:33:49+00:00,manifest_real
ipc-gemma-counter-signal-mid-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,counter-signal-mid,20,completed,1,1,runs\s3_cross_topic\ipc\gemma\counter-signal-mid-r20,2026-06-18T08:33:49+00:00,2026-06-18T08:33:57+00:00,manifest_real
ipc-gemma-noise-near-mid-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,noise-near-mid,20,completed,1,1,runs\s3_cross_topic\ipc\gemma\noise-near-mid-r20,2026-06-18T08:33:57+00:00,2026-06-18T08:34:20+00:00,manifest_real
ipc-gemma-noise-off-mid-r20,ipc,gemma,deepinfra,google/gemma-3-27b-it,noise-off-mid,20,completed,1,1,runs\s3_cross_topic\ipc\gemma\noise-off-mid-r20,2026-06-18T08:34:20+00:00,2026-06-18T08:34:51+00:00,manifest_real
football-llama-baseline-control-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,20,skipped_existing_valid,0,0,runs\s3_cross_topic\football\llama\baseline-control-r20,2026-06-18T08:34:52+00:00,2026-06-18T08:34:52+00:00,existing artifacts; manifest_real
football-llama-signal-early-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,20,completed,1,1,runs\s3_cross_topic\football\llama\signal-early-r20,2026-06-18T08:34:52+00:00,2026-06-18T08:35:27+00:00,manifest_real
football-llama-signal-mid-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,20,skipped_existing_valid,1,1,runs\s3_cross_topic\football\llama\signal-mid-r20,2026-06-18T08:35:27+00:00,2026-06-18T08:35:27+00:00,existing artifacts; manifest_real
football-llama-signal-late-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,20,completed,1,1,runs\s3_cross_topic\football\llama\signal-late-r20,2026-06-18T08:35:27+00:00,2026-06-18T08:36:00+00:00,manifest_real
football-llama-counter-signal-mid-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,20,completed,1,1,runs\s3_cross_topic\football\llama\counter-signal-mid-r20,2026-06-18T08:36:00+00:00,2026-06-18T08:36:26+00:00,manifest_real
football-llama-noise-near-mid-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,20,completed,1,1,runs\s3_cross_topic\football\llama\noise-near-mid-r20,2026-06-18T08:36:26+00:00,2026-06-18T08:36:57+00:00,manifest_real
football-llama-noise-off-mid-r20,football,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,20,completed,1,1,runs\s3_cross_topic\football\llama\noise-off-mid-r20,2026-06-18T08:36:57+00:00,2026-06-18T08:37:33+00:00,manifest_real
bolivia-llama-baseline-control-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,20,skipped_existing_valid,0,0,runs\s3_cross_topic\bolivia\llama\baseline-control-r20,2026-06-18T08:37:33+00:00,2026-06-18T08:37:33+00:00,existing artifacts; manifest_real
bolivia-llama-signal-early-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,20,completed,1,1,runs\s3_cross_topic\bolivia\llama\signal-early-r20,2026-06-18T08:37:33+00:00,2026-06-18T08:38:36+00:00,manifest_real
bolivia-llama-signal-mid-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,20,skipped_existing_valid,1,1,runs\s3_cross_topic\bolivia\llama\signal-mid-r20,2026-06-18T08:38:36+00:00,2026-06-18T08:38:36+00:00,existing artifacts; manifest_real
bolivia-llama-signal-late-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,20,completed,1,1,runs\s3_cross_topic\bolivia\llama\signal-late-r20,2026-06-18T08:38:36+00:00,2026-06-18T08:39:15+00:00,manifest_real
bolivia-llama-counter-signal-mid-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,20,completed,1,1,runs\s3_cross_topic\bolivia\llama\counter-signal-mid-r20,2026-06-18T08:39:15+00:00,2026-06-18T08:39:50+00:00,manifest_real
bolivia-llama-noise-near-mid-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,20,completed,1,1,runs\s3_cross_topic\bolivia\llama\noise-near-mid-r20,2026-06-18T08:39:50+00:00,2026-06-18T08:40:39+00:00,manifest_real
bolivia-llama-noise-off-mid-r20,bolivia,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,20,completed,1,1,runs\s3_cross_topic\bolivia\llama\noise-off-mid-r20,2026-06-18T08:40:39+00:00,2026-06-18T08:41:23+00:00,manifest_real
ipc-llama-baseline-control-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,20,skipped_existing_valid,0,0,runs\s3_cross_topic\ipc\llama\baseline-control-r20,2026-06-18T08:41:23+00:00,2026-06-18T08:41:23+00:00,existing artifacts; manifest_real
ipc-llama-signal-early-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,20,completed,1,1,runs\s3_cross_topic\ipc\llama\signal-early-r20,2026-06-18T08:41:23+00:00,2026-06-18T08:41:48+00:00,manifest_real
ipc-llama-signal-mid-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,20,skipped_existing_valid,1,1,runs\s3_cross_topic\ipc\llama\signal-mid-r20,2026-06-18T08:41:48+00:00,2026-06-18T08:41:48+00:00,existing artifacts; manifest_real
ipc-llama-signal-late-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,20,completed,1,1,runs\s3_cross_topic\ipc\llama\signal-late-r20,2026-06-18T08:41:48+00:00,2026-06-18T08:42:04+00:00,manifest_real
ipc-llama-counter-signal-mid-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,20,completed,1,1,runs\s3_cross_topic\ipc\llama\counter-signal-mid-r20,2026-06-18T08:42:04+00:00,2026-06-18T08:42:13+00:00,manifest_real
ipc-llama-noise-near-mid-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,20,completed,1,1,runs\s3_cross_topic\ipc\llama\noise-near-mid-r20,2026-06-18T08:42:13+00:00,2026-06-18T08:42:27+00:00,manifest_real
ipc-llama-noise-off-mid-r20,ipc,llama,deepinfra,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,20,completed,1,1,runs\s3_cross_topic\ipc\llama\noise-off-mid-r20,2026-06-18T08:42:27+00:00,2026-06-18T08:42:54+00:00,manifest_real
