id,titulo,institucion,fecha,url,archivo_local,categoria,core_supporting_excluded,motivo,variables_extraibles,riesgo_de_leakage
INST_02,Diputados confirmó el veto de Javier Milei a la ley de movilidad jubilatoria,Chequeado,2024-09-11,https://chequeado.com/el-explicador/diputados-trata-el-veto-de-javier-milei-a-la-ley-de-movilidad-jubilatoria-que-puede-pasar-en-el-congreso/,sources/INST_02_Chequeado_Veto_Jubilatorio_Conteo_20240911.html,institutional,supporting,"Fuente periodística especializada para corroborar y explicar el conteo exacto 153/87/8 y la regla de dos tercios. Complementa a INST_01, no lo reemplaza.",153 a favor de insistir; 87 en contra; 8 abstenciones; dos tercios; veto firme por un año,"MEDIO-BAJO: HTML pre-corte de medio de verificación; supporting, no fuente neutral principal."
MONETARY_02,"Informe Monetario Mensual, diciembre 2024",BCRA,2025-01,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf,sources/MONETARY_02_BCRA_Informe_Monetario_Diciembre_2024.pdf,monetary,supporting,"Amplía base monetaria: liquidez, pasivos remunerados, crédito privado, tasas y transmisión monetaria.",base monetaria; pasivos remunerados/LEFI; crédito privado; tasa; liquidez bancaria,BAJO: PDF directo oficial pre-corte.
MACRO_04,"Global Economic Prospects, January 2025 — Latin America and Caribbean",World Bank,2025-01,https://thedocs.worldbank.org/en/doc/c50bc3c87bc2666b9e5fa6699b0b2849-0050012025/related/GEP-Jan-2025-Analysis-LAC.pdf,sources/MACRO_04_WorldBank_GEP_Jan2025_LAC.pdf,macro,supporting,"Contexto externo/regional; proyecta rebote de Argentina de 5% en 2025 y 4,7% en 2026.","Argentina GDP forecast 2025 5%; Argentina GDP forecast 2026 4,7%; contexto regional; demanda externa/commodities",BAJO: PDF estático World Bank; no usar dashboards dinámicos.
EXCLUDED_01,Milei approval/jobs BA Times page,Buenos Aires Times,2025-07-08,https://www.batimes.com.ar/news/argentina/mileis-approval-rating-holds-as-argentines-worry-more-about-jobs.phtml,,social/electoral,excluded,Post-corte: la página figura como 8 de julio de 2025; no entra al input.,N/A,ALTO: publicación post-31/01/2025.
EXCLUDED_02,BCRA REM enero 2025,BCRA,2025-02-06,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/resumen-relevamiento-expectativas-mercado-ene-2025.pdf,,macro,excluded,Publicado después del corte aunque releve expectativas de enero; queda como answer key/validación.,N/A,ALTO: reporting-lag trap post-corte.
EXCLUDED_03,INDEC IPC enero 2025,INDEC,2025-02-13,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_02_252AD960A6A4.pdf,,macro,excluded,Publicado después del corte; revela inflación de enero.,N/A,ALTO: ground truth post-corte.
EXCLUDED_04,Resultados legislativos Argentina 2025 / Wikipedia live / crónicas post-elección,varias,post-2025-10,,,electoral,excluded,Revela resultado electoral que MiroFish debe pronosticar.,N/A,CRÍTICO: ground truth directo.
EXCLUDED_05,BBVA/IMF/BCRA informes posteriores al 31/01/2025,varias,post-2025-01-31,,,macro/geopolitical/monetary,excluded,Informes posteriores al corte contienen actualizaciones o outcomes.,N/A,ALTO: contaminación temporal.
EXCLUDED_06,"Para la UCA, la pobreza es de 49,9% y uno de cada tres hogares recortó gastos",Primera Fuente / UCA ODSA citado,2024-12-05,https://www.primerafuente.com.ar/noticias/120649/para-uca-pobreza-499porciento-uno-cada-tres-hogares-recorto-gastos-medicamentos-servicios,,social,excluded,Fuente fallback periodística reemplazada por PDF oficial UCA/ODSA SOCIAL_01.,N/A,"BAJO temporalmente, pero excluida por ser secundaria."
EXCLUDED_07,Milei llamó héroes a los 87 diputados que apoyaron su veto a los jubilados,Diagonales,2024-09-11,https://www.diagonales.com/nacion/milei-llamo--heroes--a-los-87-diputados-que-apoyaron-su-veto-a-los-jubilados_a66e209c1276490f312f8533f,,institutional,excluded,Fuente periodística débil reemplazada por fuente oficial Diputados INST_01 y supporting Chequeado INST_02.,N/A,"BAJO temporalmente, pero excluida por ser secundaria y menos neutral."
